group	x	y
2	3.055	73.9208292682927
3	8.004	44.4298048780488
4	1.7	74.7317073170732
5	2.478	72.6960731707317
6	1.838	69.4916341463415
7	6.963	43.0616341463415
8	2.657	73.0673902439025
10	1.36	77.3875609756098
11	1.778	78.4804878048781
12	1.979	73.6148048780488
13	2.07	65.4623902439024
14	1.508	71.3479512195122
15	1.641	75.1273902439024
16	3.463	63.1965609756098
17	1.6	77.3707317073171
18	6.432	49.3699756097561
19	1.09	70.3512195121951
20	2.913	73.4134634146341
21	6.136	45.0267073170732
22	6.2	51.6740731707317
24	2.677	75.4809024390244
25	4.39	61.8657317073171
26	2.451	69.1090975609756
27	2.357	70.6627073170732
28	4.256	58.5621463414634
29	3.746	55.6515365853659
30	1.23	68.4609756097561
31	3.905	73.3007073170732
32	1.55	78.4804878048781
33	7.068	45.4100243902439
34	5.55	44.8916341463415
35	5.026	54.2834146341463
36	1.48	79.079512195122
37	5.371	50.4899268292683
38	2.254	75.6698048780488
39	5.175	51.1915365853659
40	1.799	70.7663170731707
41	2.775	70.085243902439
42	2.616	77.229512195122
43	1.61	75.7064146341463
44	4.221	68.0370487804878
46	1.945	77.5471707317073
47	1.17	73.8248780487805
48	1.35	77.0731707317073
49	5.196	53.1036585365854
50	1.752	75.9451219512195
51	1.9	75.9512195121951
52	3.014	70.1156097560976
53	3.012	69.0256585365854
54	3.113	72.1573902439024
55	1.24	69.809756097561
56	3.512	67.0653170731707
57	5.713	54.0065365853659
58	1.15	78.6041463414634
59	6.561	50.2389512195122
60	1.75	76.8785365853659
61	3.209	67.0375609756098
62	4.544	66.9716097560976
64	1.77	78.3048780487805
65	4.472	60.6049512195122
66	1.72	77.2109756097561
67	2.87	72.4058780487805
68	1.756	70.8139512195122
69	4.866	57.9551219512195
70	2.683	65.2853658536585
71	5.831	54.2402682926829
72	6.232	46.4883414634146
73	5.872	48.5115365853659
74	1.31	78.1365853658537
75	5.058	66.1061463414634
76	3.01	73.5725365853659
77	6.115	44.1151951219512
78	2.5	63.0444390243902
79	1.127	80.1268292682927
80	4.366	69.464
81	1.69	72.4951219512195
82	4.665	57.7314878048781
83	1.38	70.7024390243902
84	2.579	64.6694390243903
85	1.92	75.969756097561
86	2.94	78
88	3.349	60.5357317073171
89	5.443	71.264243902439
90	2.727	68.9196585365854
91	2.04	78.8853658536585
92	1.22	78.6285365853659
93	1.411	76.8315365853659
94	2.683	70.2712926829268
95	4.377	71.6986097560976
96	1.388	80.4241463414634
97	5.102	54.3371219512195
98	2.79	66.8926829268293
99	4.45	56.4922682926829
100	4.2	60.4390243902439
101	5.27	57.1764634146341
102	2.4	70.0363414634146
103	2.224	64.6018048780488
104	1.54	74.2478048780488
105	2.4573	68.8209756097561
106	2.722	73.4910487804878
108	2	64.4634146341463
109	4.938	59.5695609756098
110	2.711	70.1771951219512
111	2.6	71.76
113	2.184	69.316243902439
114	6.031	43.1993414634146
115	4.394	53.3281707317073
116	1.47	70.9090243902439
117	1.71	76.880487804878
118	1.11	69.3492682926829
119	3.302	71.5680975609756
120	3.024	67.47
122	1.73	66.5851463414634
123	1.826	75.5166829268293
125	5.841	56.7700487804878
127	1.829	72.414756097561
128	6.901	46.3265365853659
129	2.675	60.9234878048781
130	2.514	61.8036097560976
131	1.116	77.8612926829268
133	5.443	56.800756097561
134	1.95	77.4365853658537
135	2.04	70.4048780487805
136	3.692	67.2816097560976
137	6.216	46.1964634146342
138	2.73	73.4260487804878
139	3.204	71.5690975609756
140	5.879	46.3554878048781
141	4.351	59.4344878048781
142	2.7	71.7390243902439
143	7.629	45.9906097560976
144	6.006	45.2537073170732
145	3.702	68.2414878048781
146	1.53	77.7943902439024
147	1.86	78.1426829268293
148	4.472	59.09
149	1.95	77.3341463414634
150	4.629	73.5148292682927
151	2.786	73.6514634146342
152	3.142	69.0008780487805
153	2.64	71.444756097561
154	4.631	57.9062926829268
155	3.923	66.339756097561
156	5.042	62.5123170731707
157	1.513	72.6463414634146
158	1.9	74.8102195121951
159	5.892	70.2336097560976
160	1.46	75.4121951219512
162	3.921	69.2955609756098
163	3.398	75.7043902439025
164	1.32	69.0048780487805
165	1.6	72.0390243902439
166	1.23	66.9507317073171
167	5.958	37.7641951219512
168	4.594	70.8991219512195
169	4.968	60.9086097560976
170	2.1	71.4146341463415
171	5.546	55.192512195122
172	1.52	79.1975609756098
173	1.635	77.0487804878049
174	1.25	74.7073170731707
175	1.43	72.7048780487805
176	5.843	37.7990243902439
178	5.834	54.8635365853659
179	6.492	46.2216829268293
180	2.745	67.8555121951219
182	4.827	61.9429756097561
183	3.323	69.2559512195122
185	4.023	73.3662682926829
186	4.57	53.4418048780488
188	6.629	49.304512195122
189	5.446	54.3658536585366
190	1.785	72.2792926829268
191	4.348	62.8129512195122
192	6.832	53.3393902439025
193	3.159	63.3954878048781
194	2.38	71.9024390243902
195	4.34	70.3636829268293
196	2.596	67.4328048780488
197	1.745	68.7973658536585
199	5.78	49.6445365853659
200	1.3	67.2953658536585
201	6.967	44.8901951219512
202	1.971	76.4292682926829
203	2.4	73.6634146341463
204	3.082	66.5741951219512
205	2.576	70.168243902439
206	2.98	72.5695121951219
207	2.584	76.8025609756098
208	2.302	70.5063170731707
209	4.616	66.3300975609756
210	4.661	68.3705365853659
211	7.128	58.1306829268293
212	2.983	58.0911219512195
213	6.19	42.5896097560976
214	4.118	49.1889024390244
